# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   210461664 | 4421 |  177 |  142 | 1.985 | 0.432 | 1.368 | -0.219 | 0.250 | 1.100 |  18.724 |  45.841 |   7.709 |   1.268 |   0.430 |   0.307 | 1.845e-04 | 4.626e-04 | 1.812e-04 | 6.053e+02 | 1.314e+03 | 2.362e+02 | 0.4438 | 0.0996 | 0.1826 |   rpm
   210461723 | 6034 |  180 |  180 | 4.267 | 0.156 | 0.208 | -0.142 | 0.160 | 0.280 |   1.181 |   0.377 |   0.212 |   1.049 |   0.124 |   0.103 | 5.275e-01 | 4.148e-01 | 2.841e-01 | 4.035e+02 | 1.154e+02 | 7.629e+01 | 0.2764 | 0.1056 | 0.0880 |   rpm
   210461786 | 5461 |  459 |  382 | 4.547 | 0.065 | 0.104 | -0.658 | 0.440 | 0.200 |   0.761 |   0.119 |   0.089 |   0.771 |   0.078 |   0.067 | 1.650e+00 | 4.272e-01 | 5.598e-01 | 1.518e+02 | 6.017e+01 | 5.668e+01 | 0.1591 | 0.1152 | 0.0960 |   rpm
   210461958 | 6194 |  203 |  254 | 4.178 | 0.200 | 0.240 | -0.011 | 0.150 | 0.180 |   1.404 |   0.617 |   0.322 |   1.227 |   0.197 |   0.164 | 3.750e-01 | 3.995e-01 | 2.392e-01 | 3.396e+02 | 1.556e+02 | 8.020e+01 | 0.3823 | 0.0924 | 0.1386 |   rpm
   210462021 | 5221 |   63 |  105 | 4.558 | 0.021 | 0.020 | -0.006 | 0.080 | 0.180 |   0.815 |   0.016 |   0.054 |   0.868 |   0.026 |   0.057 | 1.608e+00 | 2.129e-01 | 9.646e-02 | 2.461e+02 | 1.101e+01 | 2.453e+01 | 0.4506 | 0.0190 | 0.0722 |   rpm
   210462109 | 4868 |  140 |  197 | 2.945 | 0.522 | 0.522 | -0.438 | 0.250 | 0.250 |   5.694 |   3.617 |   2.486 |   0.983 |   0.197 |   0.058 | 5.216e-03 | 2.494e-02 | 4.314e-03 | 1.053e+03 | 5.993e+02 | 4.306e+02 | 0.3930 | 0.1078 | 0.1078 |   rpm
   210462150 | 4852 |   78 |  177 | 2.786 | 0.545 | 0.436 | -0.288 | 0.200 | 0.360 |   5.557 |   4.762 |   2.858 |   1.039 |   0.123 |   0.221 | 3.782e-03 | 4.005e-02 | 3.125e-03 | 1.893e+03 | 1.415e+03 | 9.061e+02 | 0.6887 | 0.1728 | 0.2592 |   rpm
   210462172 | 6202 |  147 |  183 | 4.278 | 0.100 | 0.200 | -0.324 | 0.200 | 0.280 |   1.196 |   0.285 |   0.150 |   1.032 |   0.084 |   0.100 | 5.662e-01 | 2.244e-01 | 2.758e-01 | 2.376e+02 | 5.960e+01 | 3.294e+01 | 0.1528 | 0.0804 | 0.0670 |   rpm
   210462185 | 4380 |  132 |  132 | 2.033 | 0.245 | 0.294 | -0.090 | 0.160 | 0.320 |  16.891 |   6.382 |   3.959 |   1.273 |   0.237 |   0.277 | 2.084e-04 | 2.625e-04 | 1.279e-04 | 1.038e+03 | 3.379e+02 | 2.173e+02 | 0.6690 | 0.0936 | 0.1404 |   rpm
   210462199 | 4866 |  425 |  510 | 4.701 | 0.203 | 0.145 | -0.898 | 0.420 | 0.420 |   0.551 |   0.180 |   0.180 |   0.594 |   0.145 |   0.174 | 2.972e+00 | 4.011e+00 | 1.148e+00 | 4.473e+02 | 1.687e+02 | 1.793e+02 | 0.3462 | 0.2470 | 0.2470 |   rpm
   210462206 | 6362 |  269 |  153 | 3.787 | 0.150 | 0.125 |  0.029 | 0.080 | 0.100 |   2.586 |   0.473 |   0.472 |   1.627 |   0.149 |   0.179 | 8.758e-02 | 6.462e-02 | 3.232e-02 | 4.250e+02 | 8.927e+01 | 8.476e+01 | 0.5844 | 0.0710 | 0.0710 |   rpm
   210462235 | 6906 |  806 |  248 | 3.867 | 0.240 | 0.150 | -0.030 | 0.120 | 0.180 |   2.279 |   0.705 |   0.630 |   1.635 |   0.367 |   0.184 | 1.112e-01 | 1.543e-01 | 5.148e-02 | 7.012e+02 | 2.105e+02 | 2.156e+02 | 0.6225 | 0.2180 | 0.1090 |   rpm
   210462282 | 3819 |  768 |  183 | 4.904 | 0.085 | 0.221 | -0.058 | 0.150 | 0.240 |   0.376 |   0.264 |   0.081 |   0.408 |   0.274 |   0.105 | 7.415e+00 | 4.069e+00 | 4.820e+00 | 2.314e+02 | 2.512e+02 | 6.104e+01 | 0.2535 | 0.1470 | 0.1260 |   rpm
   210462435 | 4152 |  225 |  225 | 4.775 | 0.090 | 0.075 | -0.117 | 0.160 | 0.240 |   0.500 |   0.085 |   0.098 |   0.562 |   0.089 |   0.107 | 4.302e+00 | 2.120e+00 | 1.221e+00 | 5.939e+02 | 1.659e+02 | 1.520e+02 | 0.4699 | 0.1650 | 0.1980 |   col
